user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,88,8,20,-12,-5,2046,Deflect,0,120,8,20,-12,-5,73462
2046,Coop,0,128,8,20,-12,-5,2043,Coop,0,96,8,20,-12,-5,73463
2043,Coop,0,104,8,20,-12,-5,2046,Coop,0,136,8,20,-12,-5,73464
2046,Deflect,0,156,8,20,-12,-5,2043,Coop,0,92,8,20,-12,-5,73465
2043,Coop,0,80,8,20,-12,-5,2046,Deflect,0,176,8,20,-12,-5,73466
2046,Deflect,0,196,8,20,-12,-5,2043,Coop,0,68,8,20,-12,-5,73467
2043,Coop,0,56,8,20,-12,-5,2046,Deflect,0,216,8,20,-12,-5,73468
2046,Deflect,0,236,8,20,-12,-5,2043,Coop,0,44,8,20,-12,-5,73469
2043,Coop,0,32,8,20,-12,-5,2046,Deflect,0,256,8,20,-12,-5,73470
2046,Deflect,0,276,8,20,-12,-5,2043,Coop,0,20,8,20,-12,-5,73471
2043,Coop,0,8,8,20,-12,-5,2046,Deflect,0,296,8,20,-12,-5,73472
2046,Deflect,0,316,8,20,-12,-5,2043,Coop,0,-4,8,20,-12,-5,73473
