user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2042,Deflect,0,120,8,20,-12,-5,2045,Coop,0,88,8,20,-12,-5,98050
2045,Coop,0,76,8,20,-12,-5,2042,Deflect,0,140,8,20,-12,-5,98051
2042,Deflect,0,135,8,20,-12,-5,2045,Deflect,0,71,8,20,-12,-5,98052
2045,Deflect,0,66,8,20,-12,-5,2042,Deflect,0,130,8,20,-12,-5,98053
2042,Deflect,0,125,8,20,-12,-5,2045,Deflect,0,61,8,20,-12,-5,98054
2045,Deflect,0,56,8,20,-12,-5,2042,Deflect,0,120,8,20,-12,-5,98055
2042,Deflect,0,115,8,20,-12,-5,2045,Deflect,0,51,8,20,-12,-5,98056
2045,Deflect,0,46,8,20,-12,-5,2042,Deflect,0,110,8,20,-12,-5,98057
2042,Deflect,0,105,8,20,-12,-5,2045,Deflect,0,41,8,20,-12,-5,98058
2045,Deflect,0,36,8,20,-12,-5,2042,Deflect,0,100,8,20,-12,-5,98059
2042,Deflect,0,95,8,20,-12,-5,2045,Deflect,0,31,8,20,-12,-5,98060
2045,Deflect,0,26,8,20,-12,-5,2042,Deflect,0,90,8,20,-12,-5,98061
2042,Deflect,0,85,8,20,-12,-5,2045,Deflect,0,21,8,20,-12,-5,98062
2045,Deflect,0,16,8,20,-12,-5,2042,Deflect,0,80,8,20,-12,-5,98063
2042,Deflect,0,75,8,20,-12,-5,2045,Deflect,0,11,8,20,-12,-5,98064
2045,Deflect,0,6,8,20,-12,-5,2042,Deflect,0,70,8,20,-12,-5,98065
2042,Deflect,0,65,8,20,-12,-5,2045,Deflect,0,1,8,20,-12,-5,98066
2045,Deflect,0,-4,8,20,-12,-5,2042,Deflect,0,60,8,20,-12,-5,98067
