user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,88,8,20,-12,-5,2046,Deflect,0,120,8,20,-12,-5,91405
2046,Coop,0,108,8,20,-12,-5,2040,Deflect,0,108,8,20,-12,-5,91406
2040,Coop,0,116,8,20,-12,-5,2046,Coop,0,116,8,20,-12,-5,91407
2046,Coop,0,124,8,20,-12,-5,2040,Coop,0,124,8,20,-12,-5,91408
2040,Deflect,0,144,8,20,-12,-5,2046,Coop,0,112,8,20,-12,-5,91409
2046,Deflect,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,91410
2040,Deflect,0,152,8,20,-12,-5,2046,Coop,0,120,8,20,-12,-5,91411
2046,Deflect,0,140,8,20,-12,-5,2040,Coop,0,140,8,20,-12,-5,91412
2040,Deflect,0,160,8,20,-12,-5,2046,Coop,0,128,8,20,-12,-5,91413
2046,Deflect,0,123,8,20,-12,-5,2040,Deflect,0,155,8,20,-12,-5,91414
2040,Deflect,0,150,8,20,-12,-5,2046,Deflect,0,118,8,20,-12,-5,91415
2046,Deflect,0,113,8,20,-12,-5,2040,Deflect,0,145,8,20,-12,-5,91416
2040,Deflect,0,140,8,20,-12,-5,2046,Deflect,0,108,8,20,-12,-5,91417
2046,Deflect,0,103,8,20,-12,-5,2040,Deflect,0,135,8,20,-12,-5,91418
2040,Deflect,0,130,8,20,-12,-5,2046,Deflect,0,98,8,20,-12,-5,91419
2046,Deflect,0,93,8,20,-12,-5,2040,Deflect,0,125,8,20,-12,-5,91420
2040,Deflect,0,120,8,20,-12,-5,2046,Deflect,0,88,8,20,-12,-5,91421
2046,Deflect,0,83,8,20,-12,-5,2040,Deflect,0,115,8,20,-12,-5,91422
2040,Deflect,0,110,8,20,-12,-5,2046,Deflect,0,78,8,20,-12,-5,91423
2046,Deflect,0,73,8,20,-12,-5,2040,Deflect,0,105,8,20,-12,-5,91424
2040,Deflect,0,100,8,20,-12,-5,2046,Deflect,0,68,8,20,-12,-5,91425
2046,Deflect,0,63,8,20,-12,-5,2040,Deflect,0,95,8,20,-12,-5,91426
2040,Deflect,0,90,8,20,-12,-5,2046,Deflect,0,58,8,20,-12,-5,91427
2046,Deflect,0,53,8,20,-12,-5,2040,Deflect,0,85,8,20,-12,-5,91428
2040,Deflect,0,80,8,20,-12,-5,2046,Deflect,0,48,8,20,-12,-5,91429
2046,Deflect,0,43,8,20,-12,-5,2040,Deflect,0,75,8,20,-12,-5,91430
2040,Deflect,0,70,8,20,-12,-5,2046,Deflect,0,38,8,20,-12,-5,91431
2046,Deflect,0,33,8,20,-12,-5,2040,Deflect,0,65,8,20,-12,-5,91432
2040,Deflect,0,60,8,20,-12,-5,2046,Deflect,0,28,8,20,-12,-5,91433
2046,Deflect,0,23,8,20,-12,-5,2040,Deflect,0,55,8,20,-12,-5,91434
2040,Deflect,0,50,8,20,-12,-5,2046,Deflect,0,18,8,20,-12,-5,91435
2046,Deflect,0,13,8,20,-12,-5,2040,Deflect,0,45,8,20,-12,-5,91436
2040,Deflect,0,40,8,20,-12,-5,2046,Deflect,0,8,8,20,-12,-5,91437
2046,Deflect,0,3,8,20,-12,-5,2040,Deflect,0,35,8,20,-12,-5,91438
2040,Deflect,0,30,8,20,-12,-5,2046,Deflect,0,-2,8,20,-12,-5,91439
