user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2047,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,119501
2048,Coop,0,108,8,20,-12,-5,2047,Deflect,0,108,8,20,-12,-5,119502
2047,Deflect,0,128,8,20,-12,-5,2048,Coop,0,96,8,20,-12,-5,119503
2048,Deflect,0,91,8,20,-12,-5,2047,Deflect,0,123,8,20,-12,-5,119504
2047,Deflect,0,118,8,20,-12,-5,2048,Deflect,0,86,8,20,-12,-5,119505
2048,Deflect,0,81,8,20,-12,-5,2047,Deflect,0,113,8,20,-12,-5,119506
2047,Deflect,0,108,8,20,-12,-5,2048,Deflect,0,76,8,20,-12,-5,119507
2048,Deflect,0,71,8,20,-12,-5,2047,Deflect,0,103,8,20,-12,-5,119508
2047,Deflect,0,98,8,20,-12,-5,2048,Deflect,0,66,8,20,-12,-5,119509
2048,Deflect,0,61,8,20,-12,-5,2047,Deflect,0,93,8,20,-12,-5,119510
2047,Deflect,0,88,8,20,-12,-5,2048,Deflect,0,56,8,20,-12,-5,119511
2048,Deflect,0,51,8,20,-12,-5,2047,Deflect,0,83,8,20,-12,-5,119512
2047,Deflect,0,78,8,20,-12,-5,2048,Deflect,0,46,8,20,-12,-5,119513
2048,Deflect,0,41,8,20,-12,-5,2047,Deflect,0,73,8,20,-12,-5,119514
2047,Deflect,0,68,8,20,-12,-5,2048,Deflect,0,36,8,20,-12,-5,119515
2048,Deflect,0,31,8,20,-12,-5,2047,Deflect,0,63,8,20,-12,-5,119516
2047,Deflect,0,58,8,20,-12,-5,2048,Deflect,0,26,8,20,-12,-5,119517
2048,Deflect,0,21,8,20,-12,-5,2047,Deflect,0,53,8,20,-12,-5,119518
2047,Deflect,0,48,8,20,-12,-5,2048,Deflect,0,16,8,20,-12,-5,119519
2048,Deflect,0,11,8,20,-12,-5,2047,Deflect,0,43,8,20,-12,-5,119520
2047,Deflect,0,38,8,20,-12,-5,2048,Deflect,0,6,8,20,-12,-5,119521
2048,Deflect,0,1,8,20,-12,-5,2047,Deflect,0,33,8,20,-12,-5,119522
2047,Deflect,0,28,8,20,-12,-5,2048,Deflect,0,-4,8,20,-12,-5,119523
